accommodates,bathrooms,bedrooms,beds,host_total_listings_count,minimum_nights,number_of_reviews,price,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value
4.0,2.0,2.0,2.0,1.0,30.0,12.0,175.0,10.0,10.0,10.0,10.0,10.0,97.0,9.0
2.0,1.5,1.0,1.0,1.0,3.0,156.0,90.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,1.5,2.0,2.0,1.0,3.0,12.0,220.0,10.0,10.0,10.0,10.0,10.0,100.0,9.0
2.0,1.0,0.0,1.0,1.0,2.0,67.0,130.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
3.0,1.0,0.0,2.0,1.0,2.0,0.0,120.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,58.0,109.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,13.0,275.0,10.0,10.0,10.0,10.0,10.0,95.0,10.0
3.0,1.0,0.0,1.0,1.0,1.0,28.0,118.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,59.0,145.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,0.0,1.0,1.0,30.0,58.0,115.0,10.0,10.0,10.0,10.0,10.0,96.0,9.0
2.0,1.0,1.0,1.0,1.0,3.0,183.0,160.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,1.0,2.0,2.0,1.0,2.0,14.0,185.0,10.0,10.0,10.0,10.0,9.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,162.0,145.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
8.0,2.0,2.0,4.0,1.0,30.0,118.0,195.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
3.0,1.0,1.0,1.0,1.0,4.0,118.0,165.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,88.0,145.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
4.0,1.0,2.0,2.0,1.0,2.0,10.0,225.0,10.0,10.0,9.0,10.0,10.0,96.0,9.0
4.0,1.0,2.0,3.0,1.0,2.0,18.0,299.0,10.0,10.0,10.0,10.0,9.0,97.0,9.0
4.0,2.0,2.0,2.0,1.0,2.0,20.0,230.0,10.0,10.0,10.0,10.0,10.0,98.0,9.0
4.0,1.0,2.0,3.0,1.0,2.0,17.0,200.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
5.0,1.0,2.0,2.0,1.0,30.0,84.0,245.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
5.0,1.0,0.0,2.0,1.0,2.0,219.0,167.0,10.0,9.0,9.0,10.0,9.0,91.0,9.0
8.0,3.0,4.0,0.0,1.0,2.0,22.0,600.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,149.0,145.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
2.0,1.5,1.0,1.0,1.0,2.0,37.0,150.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,83.0,119.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,34.0,125.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,30.0,25.0,150.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
3.0,1.0,1.0,1.0,1.0,2.0,126.0,165.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
6.0,2.0,2.0,2.0,1.0,2.0,7.0,320.0,10.0,10.0,10.0,10.0,9.0,97.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,199.0,175.0,10.0,10.0,9.0,9.0,9.0,92.0,9.0
2.0,1.0,0.0,1.0,1.0,2.0,7.0,125.0,10.0,10.0,10.0,10.0,10.0,94.0,10.0
1.0,3.0,0.0,1.0,1.0,1.0,103.0,600.0,10.0,10.0,9.0,10.0,9.0,96.0,10.0
2.0,1.0,1.0,1.0,1.0,6.0,11.0,88.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
4.0,2.0,2.0,2.0,1.0,30.0,4.0,250.0,10.0,10.0,10.0,10.0,10.0,95.0,10.0
2.0,1.0,1.0,1.0,1.0,1.0,45.0,210.0,10.0,10.0,9.0,10.0,9.0,96.0,9.0
2.0,1.0,1.0,1.0,1.0,1.0,22.0,200.0,10.0,10.0,10.0,10.0,10.0,99.0,9.0
4.0,1.0,2.0,2.0,1.0,2.0,131.0,135.0,10.0,10.0,10.0,10.0,10.0,93.0,9.0
5.0,1.5,2.0,3.0,1.0,4.0,3.0,325.0,10.0,10.0,10.0,10.0,10.0,100.0,9.0
4.0,1.0,1.0,2.0,1.0,2.0,2.0,173.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
4.0,1.0,2.0,2.0,1.0,2.0,7.0,225.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,20.0,150.0,10.0,10.0,9.0,9.0,9.0,86.0,9.0
6.0,1.0,2.0,2.0,1.0,2.0,112.0,190.0,10.0,10.0,10.0,10.0,9.0,93.0,9.0
2.0,1.0,1.0,1.0,1.0,3.0,19.0,120.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
4.0,1.0,0.0,2.0,1.0,3.0,113.0,140.0,10.0,10.0,10.0,10.0,9.0,96.0,10.0
4.0,1.0,1.0,2.0,1.0,1.0,34.0,160.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,0.0,185.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
3.0,1.5,2.0,2.0,1.0,3.0,13.0,250.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
3.0,1.0,2.0,2.0,1.0,3.0,5.0,450.0,10.0,10.0,10.0,10.0,9.0,92.0,8.0
4.0,1.0,2.0,2.0,1.0,2.0,63.0,325.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
4.0,2.0,3.0,0.0,1.0,3.0,3.0,375.0,10.0,10.0,10.0,10.0,10.0,93.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,63.0,93.0,9.0,9.0,10.0,10.0,10.0,93.0,9.0
2.0,2.0,1.0,1.0,1.0,30.0,10.0,130.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
2.0,1.0,0.0,1.0,1.0,1.0,203.0,238.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,1.0,272.0,99.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
1.0,1.0,0.0,1.0,1.0,31.0,55.0,140.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
11.0,2.0,5.0,7.0,1.0,5.0,23.0,850.0,10.0,10.0,9.0,10.0,9.0,97.0,9.0
4.0,1.0,2.0,2.0,1.0,2.0,26.0,99.0,10.0,10.0,9.0,10.0,10.0,95.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,58.0,124.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
6.0,2.5,3.0,3.0,1.0,4.0,25.0,500.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,160.0,125.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,23.0,85.0,10.0,10.0,9.0,10.0,10.0,97.0,10.0
5.0,2.0,3.0,3.0,1.0,3.0,5.0,450.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
8.0,2.5,3.0,3.0,1.0,1.0,13.0,599.0,9.0,9.0,8.0,9.0,10.0,92.0,9.0
2.0,1.0,1.0,2.0,1.0,1.0,6.0,100.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
5.0,1.0,2.0,2.0,1.0,3.0,68.0,350.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,2.0,1.0,1.0,1.0,2.0,58.0,99.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
